country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,13878.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,8462.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,2021-01-05,8360.0,8360.0,,,,0.09,0.09,,,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-06,,,,,3368.0,,,,374.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-07,15095.0,15095.0,,,3368.0,0.17,0.17,,374.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-08,30150.0,30150.0,,15055.0,7263.0,0.33,0.33,,806.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-09,31525.0,31525.0,,1375.0,5791.0,0.35,0.35,,643.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-10,31885.0,31885.0,,360.0,4705.0,0.35,0.35,,522.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-11,38545.0,38545.0,,6660.0,5031.0,0.43,0.43,,559.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-12,52925.0,52925.0,,14380.0,6366.0,0.59,0.59,,707.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-13,63280.0,63280.0,,10355.0,7365.0,0.7,0.7,,818.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-14,74100.0,74100.0,,10820.0,8429.0,0.82,0.82,,936.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-15,84380.0,84380.0,,10280.0,7747.0,0.94,0.94,,860.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-16,87195.0,87195.0,,2815.0,7953.0,0.97,0.97,,883.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-17,102790.0,102790.0,,15595.0,10129.0,1.14,1.14,,1125.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-18,,,,,11852.0,,,,1316.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-19,140232.0,140232.0,,,12472.0,1.56,1.56,,1385.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-20,150703.0,150703.0,,10471.0,12489.0,1.67,1.67,,1387.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-21,161965.0,161965.0,,11262.0,12552.0,1.8,1.8,,1394.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-22,166956.0,166956.0,,4991.0,11797.0,1.85,1.85,,1310.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Austria,AUT,2021-01-23,169549.0,169549.0,,2593.0,11765.0,1.88,1.88,,1306.0,Pfizer/BioNTech,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata.html
Bahrain,BHR,2020-12-23,38965.0,38965.0,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-24,50071.0,50071.0,,11106.0,11106.0,2.94,2.94,,6527.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-25,50543.0,50543.0,,472.0,5789.0,2.97,2.97,,3402.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-26,51556.0,51556.0,,1013.0,4197.0,3.03,3.03,,2467.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-27,53614.0,53614.0,,2058.0,3662.0,3.15,3.15,,2152.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-28,55014.0,55014.0,,1400.0,3210.0,3.23,3.23,,1886.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-29,56041.0,56041.0,,1027.0,2846.0,3.29,3.29,,1673.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-30,57317.0,57317.0,,1276.0,2622.0,3.37,3.37,,1541.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-31,58643.0,58643.0,,1326.0,1225.0,3.45,3.45,,720.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-01,59351.0,59351.0,,708.0,1258.0,3.49,3.49,,739.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-02,60097.0,60097.0,,746.0,1220.0,3.53,3.53,,717.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-03,60689.0,60689.0,,592.0,1011.0,3.57,3.57,,594.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-04,61612.0,61612.0,,923.0,943.0,3.62,3.62,,554.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-05,63893.0,63893.0,,2281.0,1122.0,3.75,3.75,,659.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-06,68472.0,68472.0,,4579.0,1594.0,4.02,4.02,,937.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-07,72239.0,72239.0,,3767.0,1942.0,4.25,4.25,,1141.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-08,78291.0,78291.0,,6052.0,2706.0,4.6,4.6,,1590.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-09,84157.0,84157.0,,5866.0,3437.0,4.95,4.95,,2020.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-10,89250.0,89250.0,,5093.0,4080.0,5.25,5.25,,2398.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-11,92598.0,92598.0,,3348.0,4427.0,5.44,5.44,,2602.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-12,97776.0,97776.0,,5178.0,4840.0,5.75,5.75,,2844.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-13,101363.0,101363.0,,3587.0,4699.0,5.96,5.96,,2762.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-14,109566.0,109566.0,,8203.0,5332.0,6.44,6.44,,3134.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-15,122819.0,122819.0,,13253.0,6361.0,7.22,7.22,,3738.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-16,137159.0,137159.0,,14340.0,7572.0,8.06,8.06,,4450.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-17,141563.0,141563.0,,4404.0,7473.0,8.32,8.32,,4392.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-18,142831.0,142831.0,,1268.0,7176.0,8.39,8.39,,4217.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-19,143596.0,143596.0,,765.0,6546.0,8.44,8.44,,3847.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-20,144130.0,144130.0,,534.0,6110.0,8.47,8.47,,3591.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Belgium,BEL,2020-12-28,298.0,298.0,,,,0.0,0.0,,,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2020-12-29,299.0,299.0,,1.0,1.0,0.0,0.0,,0.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2020-12-30,766.0,766.0,,467.0,234.0,0.01,0.01,,20.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2020-12-31,775.0,775.0,,9.0,159.0,0.01,0.01,,14.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-01,784.0,784.0,,9.0,122.0,0.01,0.01,,11.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-02,,,,,97.0,,,,8.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-03,,,,,81.0,,,,7.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-04,785.0,785.0,,,70.0,0.01,0.01,,6.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-05,2283.0,2283.0,,1498.0,283.0,0.02,0.02,,24.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-06,5916.0,5916.0,,3633.0,736.0,0.05,0.05,,64.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-07,13757.0,13757.0,,7841.0,1855.0,0.12,0.12,,160.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-08,22723.0,22723.0,,8966.0,3134.0,0.2,0.2,,270.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-09,25830.0,25830.0,,3107.0,3578.0,0.22,0.22,,309.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-10,26223.0,26223.0,,393.0,3634.0,0.23,0.23,,314.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-11,31573.0,31573.0,,5350.0,4398.0,0.27,0.27,,379.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-12,46271.0,46271.0,,14698.0,6284.0,0.4,0.4,,542.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-13,65822.0,65822.0,,19551.0,8558.0,0.57,0.57,,738.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-14,85996.0,85996.0,,20174.0,10320.0,0.74,0.74,,890.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-15,106885.0,106885.0,,20889.0,12023.0,0.92,0.92,,1037.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-16,111552.0,111552.0,,4667.0,12246.0,0.96,0.96,,1057.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-17,114298.0,114298.0,,2746.0,12582.0,0.99,0.99,,1086.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-18,123517.0,123408.0,109.0,9219.0,13135.0,1.07,1.06,0.0,1133.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-19,137279.0,137068.0,211.0,13762.0,13001.0,1.18,1.18,0.0,1122.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-20,151375.0,151080.0,295.0,14096.0,12222.0,1.31,1.3,0.0,1055.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-21,163783.0,163410.0,373.0,12408.0,11112.0,1.41,1.41,0.0,959.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-22,174307.0,173899.0,408.0,10524.0,9632.0,1.5,1.5,0.0,831.0,Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Brazil,BRA,2021-01-16,0.0,0.0,,,,0.0,0.0,,,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-17,112.0,112.0,,112.0,112.0,0.0,0.0,,1.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-18,1109.0,1109.0,,997.0,554.0,0.0,0.0,,3.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-19,11470.0,11470.0,,10361.0,3823.0,0.01,0.01,,18.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-20,28543.0,28543.0,,17073.0,7136.0,0.01,0.01,,34.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-21,136519.0,136519.0,,107976.0,27304.0,0.06,0.06,,128.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-22,245877.0,245877.0,,109358.0,40980.0,0.12,0.12,,193.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-23,537774.0,537774.0,,291897.0,76825.0,0.25,0.25,,361.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Bulgaria,BGR,2020-12-29,1719.0,1719.0,,,,0.02,0.02,,,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2020-12-30,4608.0,4608.0,,2889.0,2889.0,0.07,0.07,,416.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2020-12-31,,,,,1477.0,,,,213.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-01,4739.0,4739.0,,,1007.0,0.07,0.07,,145.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-02,,,,,799.0,,,,115.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-03,,,,,675.0,,,,97.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-04,,,,,592.0,,,,85.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-05,5448.0,5448.0,,,533.0,0.08,0.08,,77.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-06,7913.0,7913.0,,2465.0,472.0,0.11,0.11,,68.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-07,11117.0,11117.0,,3204.0,920.0,0.16,0.16,,132.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-08,13355.0,13355.0,,2238.0,1231.0,0.19,0.19,,177.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-09,13473.0,13473.0,,118.0,1222.0,0.19,0.19,,176.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-10,,,,,1246.0,,,,179.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-11,14161.0,14161.0,,,1270.0,0.2,0.2,,183.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-12,15780.0,15780.0,,1619.0,1476.0,0.23,0.23,,212.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-13,17038.0,17038.0,,1258.0,1304.0,0.25,0.25,,188.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-14,17686.0,17686.0,,648.0,938.0,0.25,0.25,,135.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-15,18126.0,18126.0,,440.0,682.0,0.26,0.26,,98.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-16,18332.0,18332.0,,206.0,694.0,0.26,0.26,,100.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-17,18453.0,18453.0,,121.0,662.0,0.27,0.27,,95.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-18,19638.0,18524.0,1114.0,1185.0,782.0,0.28,0.27,0.02,113.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-19,22226.0,19058.0,3168.0,2588.0,921.0,0.32,0.27,0.05,133.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-20,24127.0,19834.0,4293.0,1901.0,1013.0,0.35,0.29,0.06,146.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-21,25251.0,20719.0,4532.0,1124.0,1081.0,0.36,0.3,0.07,156.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-22,26101.0,21496.0,4605.0,850.0,1139.0,0.38,0.31,0.07,164.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
